timestamp,open,high,low,close
1674691140,1612.94610357018,undefined,undefined,undefined
1674604800,1556.101281767276,1637.3678615600288,1523.9638869237974,1614.2550742006724
1674518400,1626.5364549162935,1640.9718885044706,1545.4960002719436,1556.0225540840077
1674432000,1627.8865478909868,1645.1864352400025,1598.6212274250222,1627.142967458264
1674345600,1626.7276286244735,1661.7803324826575,1609.4163196480215,1627.554249637155
1674259200,1658.337269207755,1677.8185457311554,1623.7117912510128,1626.005765046123
1674172800,1551.0071025706611,1661.5005482804982,1543.482322269041,1660.1598248896112
1674086400,1510.9556991713075,1561.1835934402766,1510.9556991713075,1552.2594300209785
1674000000,1565.656445567374,1604.3259401952212,1503.1820449998208,1513.294471962974
1673913600,1576.901397583257,1601.9030360846998,1550.052691295567,1567.0138764966841
1673827200,1552.7925367522755,1598.0816591617788,1524.3210382983566,1576.0820086381268
1673740800,1550.0741858183746,1561.9603148341757,1517.3913811064508,1552.8570241503826
1673654400,1451.71569070154,1564.308683714962,1450.4292695098911,1550.1880051117805
1673568000,1416.0658156510015,1463.6395854077693,1401.5103326621638,1451.3579212428413
1673481600,1389.2871078365629,1434.793936329452,1376.2374049878588,1416.5159330554582
1673395200,1335.6439611417336,1389.7241083265449,1321.6231798083504,1389.0621389240293
1673308800,1320.0851707941565,1344.168214559998,1318.0383623556318,1335.412990259424
1673222400,1289.933351631125,1344.2951402126653,1285.9526977675164,1321.1787225659943
1673136000,1263.9694279588932,1287.684925208293,1259.0894229613127,1287.4100102432758
1673049600,1268.892544735519,1270.507262077774,1261.4060385157009,1264.2741533074736
1672963200,1250.8792245895274,1274.1158389448356,1238.1854807842997,1269.055185704585
1672876800,1256.4049608677126,1258.98777594979,1242.9617465973513,1250.8114352681864
1672790400,1214.2592401429738,1265.3151708212565,1212.6260416676066,1256.839965183907
1672704000,1213.7590385323592,1219.12465829209,1206.3021726913462,1214.1360647486088
1672617600,1199.959848977429,1220.275758695396,1193.6096745143616,1213.7660160609862
1672531200,1195.2776218410788,1203.3740673547104,1190.8769374929984,1199.96666211726
1672444800,1199.1508941549425,1206.433998265784,1192.809691084082,1194.866648673045
1672358400,1199.7833307486426,1201.5352612356662,1185.6055821139141,1198.938851247888
1672272000,1189.3364164162733,1204.736261880043,1186.7935796392874,1201.1078698333974
1672185600,1211.0836672404064,1213.5534293041324,1183.6153164434922,1189.515244449293
1672099200,1227.6436943111073,1232.3024576159228,1204.8078127774197,1211.0172284910009
1672012800,1218.4543469039143,1229.383028991617,1212.8994192433443,1227.2447713029194
